distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
494,0.10,-0.42,0.62,-0.13,50.97,0.97,7.99,10,MISS,-0.39
515,0.10,-0.35,0.77,0.22,11,0.93,3.48,3,MISS,0.60
487,0.10,-0.61,0.59,-0.27,70,0.94,7.98,14,MISS,-0.27
478,0.10,-0.21,0.73,0.67,21.99,0.91,3,3,MISS,0.64
482,0.10,-0.59,0.60,-0.21,69,0.95,7.98,14,MISS,0.42
466,0.10,0.25,0.77,0.19,6,0.78,2.49,1,MISS,-1.00
469,0.10,0.66,0.57,-0.73,71.92,0.94,7.97,18,HIT,0.33
423,0.10,1.22,0.54,-0.23,43.92,0.95,7.91,9,BULLETHITBULLET,0.42
447,0.10,0.80,0.56,0.47,72,0.94,7.96,29,HIT,-0.74
469,0.10,1.73,0.57,0,68.45,0.93,7.81,4,HIT,-0.94
493,0.10,-0.52,0.62,-0.21,44,0.97,7.98,9,MISS,0.97
474,0.10,-0.29,0.60,0.52,71.78,0.97,8,22,MISS,1.00
464,1.99,0.21,0.48,0,32.94,0.88,1.99,2,MISS,0.94
482,1.99,-0.58,0.62,0.39,71.74,0.93,7.98,16,MISS,0.42
508,1.99,-0.46,0.77,0.80,50.93,0.78,4.98,2,MISS,-0.48
530,1.99,-0.37,0.65,0.50,3.61,0.90,4.99,5,MISS,1.00
528,1.99,-0.72,0.70,-0.41,71.96,0.89,7.97,22,MISS,0.58
514,1.99,-0.72,0.69,0.87,72,0.78,7.97,36,MISS,0.33
455,1.99,-2.81,0.75,0.27,9.12,0.57,4.29,5,MISS,-0.94
478,1.99,0,0.56,-0.13,39.48,0.94,8,8,HIT,0.98
498,1.99,-0.56,0.69,-0.77,72,0.89,7.98,26,BULLETHITBULLET,0.70
493,1.99,-0.52,0.69,0.91,68.81,0.73,7.98,6,MISS,0.03
484,1.99,0,0.34,0.46,27.85,0.83,0,3,MISS,0.36
470,1.99,0.67,0.60,0.38,70.95,0.92,7.97,19,MISS,-0.06
450,1.99,0.47,0.76,0.53,3.78,0.80,4.98,5,MISS,0.12
424,1.99,0.77,0.61,-0.15,15.05,0.93,5.95,6,MISS,0.75
464,1.57,0.69,0.65,0.24,36,0.94,7.97,8,MISS,0.66
483,1.45,-0.32,0.65,0.66,71.46,0.91,8,22,MISS,-0.03
480,0.74,-0.28,0.78,0.64,1.08,0.85,3.49,3,MISS,-0.84
475,0.70,0.80,0.62,-0.29,55.36,0.94,7.96,11,MISS,1.00
475,0.67,-0.45,0.62,0.65,71.72,0.85,7.99,28,MISS,0.05
463,0.64,0.56,0.59,0.37,3.23,0.93,4.97,5,MISS,1.00
475,0.61,0.69,0.63,0.47,71.80,0.96,7.97,17,BULLETHITBULLET,0.96
468,0.59,0.68,0.60,0.95,72,0.94,7.97,29,MISS,1.00
446,0.56,0.81,0.59,0.88,72,0.85,7.96,41,MISS,0.54
393,0.54,-4.57,0.55,0.92,70.84,0.68,6.57,53,HIT,-0.78
399,0.52,1.29,0.41,-0.28,44,0.94,7.90,10,MISS,1.00
443,0.56,0.88,0.60,0.58,72,0.96,7.95,23,BULLETHITBULLET,0.56
477,0.54,0.57,0.60,1,72,0.93,7.98,35,HIT,0.96
475,0.52,-0.36,0.60,0.48,71.95,0.83,8,47,MISS,0.42
486,0.56,0,0.49,0.58,29.95,0.82,0,2,MISS,0.85
481,0.63,-0.39,0.62,0.74,71.75,0.94,8,13,MISS,-0.78
475,0.80,0.27,0.64,-0.30,56.97,0.79,8,11,HIT,-0.19
477,0.99,-0.04,0.50,0.38,42.30,0.85,0.50,0,MISS,0.57
482,1.79,-0.35,0.62,0.52,71.77,0.94,8,16,MISS,-0.66
472,1.79,0.14,0.82,0.03,13,0.76,1.49,1,MISS,0.71
473,0.16,-0.93,0.60,-0.50,70.93,0.76,7.95,15,MISS,0.36
447,0.15,0,0.44,0,0,0.82,0,14,BULLETHITBULLET,0.83
444,0.16,0,0.42,0.71,27.87,0.78,0,3,MISS,0.44
477,0.10,0.03,0.55,0,65.98,0.96,8,28,MISS,0.57
492,0.10,0.28,0.75,0.47,65.95,0.94,4,0,MISS,0.63
517,0.10,-0.47,0.74,0.13,22.74,0.93,4.85,3,MISS,0.89
482,0.10,-0.58,0.59,0.50,72,0.85,7.98,16,MISS,0.48
427,0.10,0.55,0.68,0.88,65.99,0.61,3.96,0,MISS,-0.26
441,0.10,0,0.80,0.48,0,0.49,0,9,MISS,-0.48
